ID,MS,NMSP,VE
10761,0.624285714,34.70942857,4.877142857
10762,0.620138889,67.51819444,7.170833333
10763,0.625,50.5364,5.418
10764,0.614444444,53.54,5.226666667
10765,0.629807692,45.59846154,6.763461538
10766,0.61119403,79.62164179,8.394029851
10767,0.635833333,63.47766667,5.966666667
10768,0.637254902,44.06901961,4.511764706
10769,0.577631579,28.23447368,3.536842105
10770,0.616129032,56.58096774,6.093548387
10771,0.629591837,45.8855102,5.059183673
10772,0.527966102,31.75779661,4.603389831
10773,0.603846154,58.45961538,6.853846154
10774,0.6225,53.637,5.35
10775,0.602564103,51.52410256,5.612820513
10776,0.620945946,50.42783784,4.910810811
10777,0.606451613,49.40629032,5.541935484
10778,0.598333333,41.78066667,4.91
10779,0.628571429,51.77,5.257142857
10780,0.629545455,36.43727273,4.159090909
10781,0.52037037,46.28796296,6.692592593
10782,0.625714286,62.20885714,7.637142857
10783,0.595945946,59.60432432,6.913513514
10784,0.6171875,64.0778125,6.359375
10785,0.610526316,55.26289474,5.847368421
10786,0.604391892,55.865,5.836486486
10787,0.645813953,35.69162791,5.028837209
10788,0.629411765,31.62745098,5.578431373
10789,0.615862069,27.92206897,6.035172414
10790,0.58125,40.334375,6.406875
10791,0.680588235,34.74294118,4.849705882
10801,0.679863014,52.28613699,8.799917808
10829,0.637496063,58.81299213,7.643007874
10830,0.6756,39.01228333,5.432533333
10831,0.626744574,42.42821369,6.125843072
10834,0.729370817,67.61095047,6.330495315
10835,0.671180952,35.77169524,5.228628571
10839,0.717812114,71.84432633,7.873646477
10840,0.654652778,55.0846627,7.32875
10843,0.686765376,49.24355353,5.996697039
10853,0.648033898,41.07640678,7.550474576
10854,0.705735294,56.14420588,6.380941176
10855,0.709405738,43.27305328,5.114262295
10856,0.682383562,43.99491781,6.062383562
10858,0.646921676,86.55998179,8.523642987
10860,0.679825,67.721825,6.6412
10861,0.695131579,37.72289474,6.92125
10863,0.705762712,37.76576271,4.173502825
10872,0.682293907,81.88222222,8.021792115
10874,0.693324022,86.23801676,6.527122905
10875,0.627560976,54.03645477,8.505219512
10876,0.69537037,66.47651235,9.524259259
10880,0.715766423,74.59638686,7.727262774
10881,0.687975986,78.20037736,6.015283019
10882,0.67310987,48.1855121,5.050726257
10883,0.529009901,32.24366337,6.374488449
10886,0.656218274,72.81398477,9.185
10887,0.703671233,71.03079452,7.54660274
10889,0.650855107,42.19971496,5.01631829
10890,0.706912114,73.64536817,7.492256532
10891,0.696006944,77.415,8.191597222
10892,0.7018,70.77256,7.753
10893,0.672336449,37.16509346,6.476425234
10894,0.682505263,54.43256842,5.703073684
10895,0.675653061,58.5852449,7.243530612
10896,0.698475452,60.54739018,5.577054264
10898,0.684647887,63.65735915,5.984190141
10900,0.727655786,78.12142433,5.700652819
10901,0.644600939,33.81075117,4.88084507
10902,0.623323442,54.44032641,7.531424332
10903,0.625666667,56.76094444,8.512166667
10904,0.705,44.535625,5.565625
10905,0.698895028,83.6719337,8.308674033
10908,0.664465409,50.24591195,7.799371069
10909,0.639318182,38.01977273,6.701704545
10911,0.640418118,61.28839721,9.779094077
10912,0.644213198,66.40187817,9.488477157
10913,0.67088785,60.20135514,6.002383178
10914,0.650656371,61.76370656,6.884942085
10915,0.592253521,48.68495775,8.06228169
10916,0.662618026,59.63815451,7.292575107
10917,0.7024,51.41346667,5.868933333
10918,0.631788079,50.73139073,6.937483444
10919,0.684035874,77.03255605,8.186367713
10920,0.689399293,83.63996466,6.203674912
10921,0.691687117,80.83717791,7.213466258
10922,0.704615385,79.76423077,6.301461538
10923,0.669770992,77.67561069,8.165839695
10924,0.678454259,78.86012618,8.681041009
10925,0.574036145,30.27069277,5.732078313
10926,0.623445693,51.08074906,6.469325843
10927,0.709263158,46.02189474,4.296105263
10928,0.722359551,42.07050562,5.033651685
10929,0.660532787,63.85762295,6.14647541
10930,0.66216,56.62312,7.24792
10931,0.655700326,54.52863192,7.323224756
10932,0.691643836,66.50496575,7.854109589
10933,0.659803371,66.15115169,6.364297753
10934,0.707830882,68.16639706,7.180661765
10935,0.668713693,51.92078838,6.562904564
10936,0.616019108,53.17197452,6.003853503
10937,0.65135514,69.9838785,6.686074766
10938,0.693828571,71.84074286,6.8656
10939,0.627574257,59.4759901,5.706485149
10940,0.653939394,55.08406926,6.524112554
10941,0.645069124,63.61336406,8.473686636
10942,0.650659341,45.83974359,5.387912088
10943,0.582877698,57.95705036,8.736043165
10944,0.654517766,57.99812183,6.531167513
10945,0.588740741,63.5722963,8.284518519
10946,0.681596244,50.39502347,5.792347418
10947,0.575873016,28.05444444,6.282301587
10948,0.629862385,47.57490826,7.369678899
10949,0.608045113,67.14229323,10.56567669
10950,0.644888889,67.92395556,9.001066667
10951,0.632148438,43.76089844,5.463085938
10952,0.611705426,38.07600775,5.725891473
10953,0.627833333,44.28758333,5.3455
10954,0.588452381,57.0847619,5.96672619
10955,0.64456,56.08032,5.27576
10956,0.647371429,49.93502857,6.209257143
10957,0.6672,38.8057,5.0527
10958,0.652809917,46.90421488,5.838264463
10959,0.583164557,53.17514768,6.788016878
10960,0.635096774,67.53509677,6.279612903
10961,0.5721875,37.63260417,5.621770833
10962,0.615,45.57510638,5.980425532
10963,0.506073059,61.9730137,8.230684932
10964,0.583367876,57.69455959,7.763316062
10965,0.610092593,41.42634259,4.498842593
10966,0.613576159,47.27066225,4.14807947
10967,0.672016129,71.56306452,6.097822581
10968,0.586,28.72083871,6.003096774
10969,0.539188034,51.53226496,6.620555556
10970,0.364074074,7.064567901,3.251604938
10971,0.64547619,78.04842857,7.309857143
10972,0.649495798,65.0412605,5.972563025
10973,0.629876033,90.59082645,6.970702479
10974,0.640867347,75.80352041,7.14877551
10976,0.614897959,40.43489796,4.870612245
10977,0.611785714,28.02910714,5.618392857
10978,0.609591837,45.90428571,5.905714286
10979,0.592395833,40.34947917,4.645208333
10980,0.649117647,60.69941176,6.058627451
10981,0.557844828,31.64017241,5.7375
10982,0.607714286,45.35571429,5.847714286
10983,0.643837209,60.13906977,7.154651163
10984,0.551437908,43.87058824,8.214117647
10985,0.562857143,34.01107143,4.785357143
10986,0.689359606,90.30211823,8.228916256
10987,0.60456,82.24248,8.1452
10988,0.64377907,45.75976744,6.499069767
10989,0.462272727,28.75318182,5.392727273
10990,0.625308642,66.36271605,5.748641975
10991,0.610089286,55.29696429,6.077321429
10992,0.623913043,44.55108696,7.31423913
10993,0.638666667,79.43293333,9.989911111
10994,0.646203704,71.67310185,7.534444444
10995,0.598222222,39.70022222,6.086666667
10996,0.476578947,27.34289474,5.661052632
10997,0.626689189,50.57993243,6.906216216
10998,0.648454545,70.97854545,6.568272727
10999,0.439259259,19.15185185,8.580740741
11000,0.661507937,66.05761905,6.418492063
11001,0.624516129,40.65924731,5.635483871
11002,0.641517857,51.01,7.582767857
11003,0.663080357,50.68977679,5.588258929
11004,0.574044944,44.03617978,7.163707865
11005,0.605549133,62.43514451,10.96971098
11006,0.579502762,46.00281768,7.07839779
11007,0.598409091,60.80954545,8.801306818
11008,0.643661972,45.45387324,5.834225352
11009,0.575865922,58.44776536,8.388324022
11010,0.637428571,52.38164286,6.124142857
11011,0.53,37.57453488,5.675465116
11012,0.507954545,22.84386364,4.451136364
11013,0.632857143,64.24204082,5.374489796
11014,0.540930233,15.65953488,3.246046512
11015,0.62875,45.08013158,4.897565789
11016,0.456551724,9.673103448,3.201034483
